Prices: {"ETHUSDT": "2800.00", "SOLUSDT": "150.00", "BTCUSDT": "95000.00"}

Agent            Role                         USDT        ETH        SOL        BTC  Positions
------------------------------------------------------------------------------------------
GoldenWhale      whale                     5482.60     0.0000    30.0000   0.000000          0
CryptoGuru       shill                     6997.00     0.0000    20.0000   0.000000          0
ShadowTrader     insider                  10000.00     0.0000     0.0000   0.000000          0
LiquidKiller     liquidation_hunter       10000.00     0.0000     0.0000   0.000000          0
BearKing         short_seller             10000.00     0.0000     0.0000   0.000000          0
AlphaBot         arbitrageur              10000.00     0.0000     0.0000   0.000000          0
PoolMaster       market_maker             10000.00     0.0000     0.0000   0.000000          0
HappyTrader      retail_trader             7186.00     1.0000     0.0000   0.000000          0
DiamondHands     retail_trader             9988.80     0.0000     0.0000   0.000000          0
LeverageKing     retail_trader             9991.60     0.0000     0.0000   0.000000          0

