cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-17T23:37:20.142764,0,0,0,0,0,0,0,0,0,0
2,2026-03-17T23:37:25.728660,0,0,0,0,0,0,0,0,0,0
3,2026-03-17T23:37:31.344621,0,0,0,0,0,0,0,0,0,0
4,2026-03-17T23:37:36.944026,0,0,0,0,0,0,0,0,0,0
5,2026-03-17T23:37:42.442088,0,0,0,0,0,0,0,0,0,0
6,2026-03-17T23:37:47.941778,0,0,0,0,0,0,0,0,0,0
7,2026-03-17T23:37:53.497153,0,0,0,0,0,0,0,0,0,0
8,2026-03-17T23:37:59.017042,0,0,0,0,0,0,0,0,0,0
9,2026-03-17T23:38:04.486445,0,0,0,0,0,0,0,0,0,0
10,2026-03-17T23:38:09.986892,0,0,0,0,0,0,0,0,0,0
