cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-19T14:35:27.459521,50000.0,49972.11,49996.28,19985.55,499899.56,9990.7,9990.7,9993.49,50000.0,500000.0
2,2026-07-19T14:40:27.435665,50000.0,49972.89,49994.54,19995.29,499975.73,9999.31,9997.13,9997.32,49970.05,500000.0
3,2026-07-19T14:45:47.392171,49990.0,49958.31,49995.29,19983.48,499908.3,9991.29,9989.67,9994.14,49945.27,550000.0
4,2026-07-19T14:52:15.449565,49986.96,49953.46,49995.92,19978.42,499902.67,9992.12,9989.38,9993.12,49946.43,550550.48
5,2026-07-19T14:58:36.138259,49988.23,49950.74,49997.0,19980.31,499906.64,9993.56,9990.39,9995.9,49966.63,550715.14
6,2026-07-19T15:06:22.797420,49998.21,50119.5,50009.97,20015.84,500160.71,10020.39,10009.24,10002.47,50001.59,550824.8
7,2026-07-19T15:13:29.634044,50009.19,50119.24,50009.85,20015.7,500085.67,10015.0,10005.07,10003.77,50008.48,550824.73
8,2026-07-19T15:20:32.437413,50010.2,50113.36,50008.49,20269.52,500024.29,9995.44,9994.23,10016.13,49988.55,556070.28
9,2026-07-19T15:27:51.463467,49998.0,50096.03,50075.71,20267.59,511992.19,9994.51,9991.71,10017.59,50005.62,555992.91
10,2026-07-19T15:35:48.447135,49998.06,50099.56,50076.03,20267.78,511794.88,9994.62,9992.07,10104.93,50007.21,559691.56
11,2026-07-19T15:44:59.366786,50000.14,50110.15,50124.93,20658.0,512032.14,9985.43,10010.71,10015.17,50009.86,557474.59
12,2026-07-19T15:52:08.237088,50000.07,50139.27,50094.64,20425.05,512023.27,9983.36,10006.9,10015.17,50007.84,557365.07
13,2026-07-19T15:59:54.374513,49979.43,50105.52,50090.14,20279.16,512127.07,9985.05,10009.88,10015.17,50003.25,555508.89
14,2026-07-19T16:07:37.935843,50006.98,50147.05,50053.38,20294.17,512407.76,9988.32,10013.52,10015.17,50026.47,555570.32
15,2026-07-19T16:15:56.614200,50014.03,50156.91,50042.97,20289.68,511996.39,9975.14,10000.66,10005.17,50010.78,555562.79
16,2026-07-19T16:24:54.984230,49994.31,50122.94,50021.33,20277.52,511916.89,9972.79,9996.54,9994.7,49964.47,555023.09
17,2026-07-19T16:32:11.487554,49967.08,50070.56,49974.39,20268.99,511789.04,9967.76,9993.43,9988.76,49977.05,554968.0
18,2026-07-19T16:39:31.867393,49966.68,50061.99,49948.24,20246.14,511549.17,9964.09,9989.17,9985.99,49935.84,554805.37
19,2026-07-19T16:46:33.796245,49936.29,50015.17,49933.85,20224.47,510713.24,9948.82,9979.02,9979.66,49884.05,554646.95
20,2026-07-19T16:53:37.646589,49937.08,50012.67,49926.44,20231.34,511172.99,9955.21,9979.06,9978.83,49903.11,554603.74
21,2026-07-19T17:01:01.206879,49935.42,50010.93,49895.8,20220.44,510761.94,9953.06,9975.77,9973.99,49886.64,554546.64
22,2026-07-19T17:08:12.716842,49919.87,50128.86,50050.59,20262.92,511530.21,9954.93,9976.8,9971.41,49902.51,554613.43
23,2026-07-19T17:15:16.619528,49924.0,50005.2,49996.47,20256.16,511935.29,9957.95,9978.93,9978.06,50084.44,555682.08
24,2026-07-19T17:22:17.301476,50051.69,50256.04,50162.42,20298.05,513718.45,9977.74,9995.88,10015.99,50283.65,430938.85
25,2026-07-19T17:29:24.490056,50047.0,50240.95,48097.95,20287.19,513344.2,9972.11,9990.6,9995.52,50171.08,500452.59
26,2026-07-19T17:38:25.166484,50006.62,50196.42,48070.06,20272.52,513489.51,9972.85,9991.9,9985.27,50097.7,500028.29
27,2026-07-19T17:46:18.630998,49952.3,50144.03,48115.02,20290.42,513484.71,9972.55,9991.88,10011.33,50244.47,500809.45
28,2026-07-19T17:55:09.918608,50076.69,50213.9,48130.34,20294.41,513377.46,9970.81,9990.15,9987.38,50122.77,500153.3
29,2026-07-19T18:02:40.952940,49990.34,50157.1,48080.95,20271.95,513124.95,9966.95,9975.23,9975.61,50063.01,499518.5
30,2026-07-19T18:10:28.066394,49866.3,50052.84,47980.51,20235.31,488268.51,9953.99,9974.79,9971.85,50042.26,499419.55
