cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-21T03:37:19.289671,49961.19,49970.39,49980.6,20000.0,612262.05,9990.56,9992.0,10109.9,49986.04,500000.0
2,2026-07-21T03:42:41.454775,58404.32,51270.86,49987.59,20040.31,643498.45,9997.99,10017.91,11632.04,50291.97,640287.36
3,2026-07-21T03:48:44.347765,57562.95,53285.32,50002.25,20291.18,515566.51,9990.36,8492.62,4895.52,47496.16,531986.29
4,2026-07-21T03:55:44.469454,57587.75,67141.01,50177.38,24125.49,667009.58,9987.23,12909.43,23586.39,54909.22,531523.56
5,2026-07-21T04:02:22.114278,51536.95,66138.9,50102.62,23350.87,495775.66,9985.19,8489.12,4893.4,47449.87,531387.76
6,2026-07-21T04:09:42.594204,52262.89,65288.78,49313.41,17985.25,495757.18,9987.17,8486.03,4889.9,47423.48,431407.16
7,2026-07-21T04:15:51.939977,51050.96,63920.06,49316.34,17981.19,495636.46,9828.92,8486.61,4891.87,44432.57,531807.11
8,2026-07-21T04:22:42.287325,51090.16,70770.0,49365.95,17993.68,521832.85,10130.31,8488.42,4892.97,44452.53,531374.49
9,2026-07-21T04:29:11.110420,51946.64,70789.83,49361.04,18259.05,534640.99,10130.02,8693.18,5759.37,44779.49,531376.2
10,2026-07-21T04:35:43.129460,51953.22,70890.68,49357.75,18297.59,497505.97,10130.53,8492.5,4895.45,52438.56,531756.39
11,2026-07-21T04:43:31.989965,62301.72,107146.96,48409.83,17681.63,497563.51,10132.75,13306.2,24724.64,52410.66,531365.99
12,2026-07-21T04:50:49.074962,63281.02,105529.15,44544.16,17672.06,497622.65,10132.64,13314.04,4897.05,45827.16,519978.43
13,2026-07-21T04:58:45.121321,94730.47,101571.18,49692.58,29606.79,646344.88,10137.45,13323.06,23193.77,45861.07,511876.11
14,2026-07-21T05:06:14.229725,66051.23,102143.32,48081.57,26976.68,643202.74,10137.15,13317.23,20359.95,57979.39,532472.54
15,2026-07-21T05:14:36.380208,67824.98,91959.95,48244.23,24921.36,622264.61,10138.56,13314.52,20364.17,47542.11,524129.0
16,2026-07-21T05:23:11.644179,74117.56,91429.45,48253.58,24727.43,492179.46,10142.26,13273.67,20362.27,60940.39,534973.36
17,2026-07-21T05:30:27.470311,73251.46,65488.21,48232.46,14759.4,492046.02,10139.31,13267.11,20357.62,50133.82,523595.0
18,2026-07-21T05:38:51.297534,73307.42,66076.88,48218.2,17106.68,465834.05,7534.04,13264.6,20365.65,50119.5,523606.62
19,2026-07-21T05:46:26.303737,74441.77,100762.56,48193.19,25402.31,429619.43,9395.36,13256.68,20361.1,54030.39,528473.42
20,2026-07-21T05:54:20.479394,69282.49,93034.72,48030.53,17082.55,428848.05,7516.29,13238.73,20343.39,53923.35,489858.72
21,2026-07-21T06:02:36.478025,73159.82,105038.45,47895.06,17036.22,428607.66,10328.29,13234.91,20338.56,53904.36,501040.01
