cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-21T09:23:57.856575,50000.0,63986.37,52735.26,20435.6,552425.13,10104.0,10225.56,10090.67,50020.05,500000.0
2,2026-07-21T09:30:02.588053,50000.0,61052.27,45000.0,17500.0,504159.6,8000.0,7000.0,8000.0,49000.0,500000.0
3,2026-07-21T09:36:53.987847,48500.0,44873.34,44999.55,17500.0,504159.6,8000.0,7000.0,8000.0,49000.0,320000.0
4,2026-07-21T09:43:29.315596,49250.0,44887.97,44999.55,17500.0,691922.27,10660.43,10512.21,10071.43,49965.51,379631.12
5,2026-07-21T09:50:52.510233,49990.78,161320.06,44999.55,31532.76,628747.51,8000.0,6500.0,8000.0,52314.88,374416.53
6,2026-07-21T09:59:34.963674,38000.0,179351.73,44999.55,31532.76,609157.49,8277.57,7049.59,6790.9,52374.68,372490.38
7,2026-07-21T10:07:08.080372,47000.0,181301.78,59583.91,40643.24,623643.57,6000.0,3500.0,6790.9,50936.57,373794.34
8,2026-07-21T10:15:13.357035,42000.29,195478.99,30752.55,36709.1,667595.37,8599.01,7393.33,8795.03,49312.44,286209.61
9,2026-07-21T10:22:48.643324,42000.29,195480.59,30752.55,40829.72,688144.75,11804.79,5396.41,7949.71,50947.3,387747.32
10,2026-07-21T10:30:55.175795,41250.57,199556.14,30554.89,19639.66,658460.88,9364.98,5396.41,11033.27,47879.09,323557.95
11,2026-07-21T10:40:51.030214,42005.5,195460.79,30307.91,7144.21,545015.51,9364.98,5396.41,9443.7,46409.97,427557.12
12,2026-07-21T10:49:23.988617,42010.51,195490.29,30060.93,19862.25,537008.93,9364.98,5396.41,9443.7,46409.97,412225.48
13,2026-07-21T10:58:18.448418,41762.01,195524.23,30060.93,19176.78,826189.17,11686.48,7276.02,10955.3,32908.72,374556.01
14,2026-07-21T11:07:21.658789,35128.89,195733.43,29813.95,19423.02,524768.13,9364.98,5273.99,11034.21,32408.92,373826.86
15,2026-07-21T11:18:38.507135,34663.8,195487.31,29813.95,19423.02,524769.44,9364.98,5273.99,9942.0,48325.91,438321.47
16,2026-07-21T11:29:40.158637,41746.19,195402.77,29566.97,19679.88,521044.45,9364.98,5273.99,9942.0,48325.91,383702.6
17,2026-07-21T11:39:22.167062,34663.8,195131.5,29566.97,7915.5,521040.83,9364.98,5273.99,9942.0,48325.91,383501.54
18,2026-07-21T11:49:03.398503,34663.8,195400.3,29319.98,8161.74,521042.32,9364.98,5273.99,9942.0,48325.91,383501.54
19,2026-07-21T11:58:44.539681,34663.8,195353.6,29073.0,20172.36,517042.61,9364.98,7384.11,9441.76,48325.91,387991.61
20,2026-07-21T12:07:02.210675,34663.8,195457.66,29319.24,12148.7,517045.11,9364.98,7382.67,11031.93,46828.53,387991.61
21,2026-07-21T12:17:53.579343,34663.8,195430.58,29319.24,12394.94,516797.25,9364.98,7379.31,9078.5,48075.46,441271.83
22,2026-07-21T12:27:53.541034,41818.63,195285.46,29319.24,12394.94,827039.19,11670.57,7379.31,10914.18,47998.85,433969.81
23,2026-07-21T12:38:08.980230,41217.74,195350.93,29318.32,20054.95,822822.17,11544.64,7379.31,10813.91,47989.26,421351.81
24,2026-07-21T12:47:55.920850,40376.73,194325.29,28167.28,19806.51,822584.29,11547.13,7379.31,10816.36,48238.89,421299.2
25,2026-07-21T12:57:47.274760,40389.16,194126.43,28176.18,20057.62,824167.04,11563.71,7379.31,10846.07,48432.07,430952.58
26,2026-07-21T13:09:57.264713,41041.74,237163.63,58991.75,20369.9,822742.67,11551.5,7379.31,10840.69,48081.56,394277.48
27,2026-07-21T13:19:06.320780,40561.85,235837.77,60479.58,41358.91,642293.09,11551.5,7379.31,10614.6,39946.58,386155.26
28,2026-07-21T13:28:26.137732,41102.31,169511.8,55489.36,5687.42,717031.84,11551.5,7379.31,10614.6,36408.24,469342.86
29,2026-07-21T13:36:57.125100,41528.95,307923.76,38417.12,24745.81,566162.87,1551.5,7379.31,10614.6,54007.42,491145.05
30,2026-07-21T13:43:32.900186,41797.6,312147.1,60645.79,41113.38,827858.18,1551.5,7375.19,10857.08,53967.25,517884.42
31,2026-07-21T13:50:18.645963,41790.99,201956.02,60645.37,21383.6,745750.56,1551.5,7347.49,10826.22,53938.24,339185.47
32,2026-07-21T13:56:28.598783,28788.31,198351.1,35910.04,5687.42,723019.89,1551.5,7370.63,10851.35,53960.15,489527.58
33,2026-07-21T14:00:09.172121,28768.37,198219.95,60114.83,21265.62,723019.92,1551.5,7370.63,10851.35,53960.15,489527.58
34,2026-07-21T14:02:25.084966,28768.37,198255.61,60114.83,21265.62,723021.9,1551.5,7370.63,10851.35,53960.15,489527.58
