cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-23T19:23:28.370845+00:00,50000.0,49959.1,50000.0,19986.35,528065.51,9998.45,11959.02,10243.77,49992.5,500034.44
2,2026-07-23T19:29:09.959766+00:00,50000.0,51055.48,49821.54,20820.3,551203.55,10046.31,17755.52,11553.98,50185.48,450355.67
3,2026-07-23T19:34:59.044363+00:00,49954.9,51227.96,50158.19,22648.89,559655.82,6620.84,4071.03,7665.95,50173.46,499000.0
4,2026-07-23T19:42:01.610599+00:00,51543.88,49997.11,46097.34,17401.09,522350.95,6676.19,4177.26,7914.15,50287.45,498800.19
5,2026-07-23T19:48:40.020998+00:00,51083.53,50319.87,45989.02,17589.72,522396.07,6687.33,4190.87,7945.95,50289.2,427986.21
6,2026-07-23T19:54:49.357537+00:00,52134.51,53835.51,49685.4,23170.97,559020.45,9993.48,22938.19,13269.43,50293.69,503079.27
7,2026-07-23T20:38:44.811052+00:00,52231.08,54083.09,43230.75,17661.68,522551.2,6711.95,4212.34,7963.97,50292.71,502546.72
8,2026-07-23T21:09:36.976434+00:00,52144.43,53955.69,49276.45,22330.75,555355.21,9492.3,20091.34,12435.87,50265.21,502869.4
9,2026-07-23T21:15:55.555500+00:00,52019.12,54064.61,49371.07,22309.18,555438.24,9510.25,20103.76,12200.67,50283.66,503288.65
10,2026-07-23T21:22:05.140925+00:00,51936.6,54201.58,49109.6,21349.13,550377.53,8953.59,13110.2,12232.9,50349.03,504045.16
11,2026-07-23T21:28:22.641140+00:00,51956.41,54444.19,48512.58,19545.94,568846.87,7849.57,13124.23,12290.77,50528.33,504614.11
12,2026-07-23T21:35:09.370302+00:00,52050.62,54488.43,48525.55,19588.06,568881.28,7854.59,13130.25,12295.9,50546.75,504838.08
13,2026-07-23T21:41:42.265482+00:00,52181.32,54591.65,48591.44,19733.16,535806.34,7880.91,13149.01,12318.68,50627.44,505349.21
14,2026-07-23T21:48:54.724170+00:00,52191.72,54645.94,46616.79,19671.5,569112.55,7891.37,13164.48,12332.03,50672.9,505323.07
15,2026-07-23T23:00:23.180410+00:00,52133.8,54441.77,48452.76,19645.45,534862.75,7853.74,13109.93,12288.41,50477.07,505143.47
16,2026-07-23T23:07:56.138329+00:00,32745.58,54093.14,47301.32,17709.3,522684.93,7841.95,13094.46,11864.44,50417.63,504514.81
17,2026-07-23T23:15:04.440801+00:00,32891.62,54381.39,51168.82,23320.12,559538.86,7893.15,13175.6,13135.01,50633.5,505188.96
18,2026-07-23T23:22:34.410055+00:00,50049.68,54944.42,51391.61,19688.74,567487.1,7948.39,12914.78,12367.88,50820.2,505938.99
19,2026-07-23T23:29:54.585875+00:00,50008.91,54869.63,51356.51,19653.77,567429.6,7938.36,12899.74,12352.14,50781.17,505693.42
20,2026-07-23T23:37:08.077946+00:00,29857.86,54965.0,51555.48,18038.86,523683.47,8001.19,12992.4,12060.94,51033.44,506917.79
21,2026-07-23T23:45:33.751652+00:00,29928.36,55100.24,51697.11,18101.46,524033.21,8030.72,13030.87,13522.02,51134.81,507423.4
22,2026-07-23T23:53:48.009864+00:00,70591.44,55105.97,51735.43,18087.59,524071.42,8036.78,13039.55,12133.41,51153.57,507257.0
23,2026-07-24T00:01:46.346882+00:00,54640.67,55407.93,51686.82,20387.8,538792.79,8029.32,12071.51,12221.35,50172.08,507526.99
24,2026-07-24T00:10:23.114778+00:00,30200.21,55860.55,52475.64,18340.22,529313.21,8171.87,13230.47,12315.27,51698.74,506150.65
25,2026-07-24T00:19:43.462890+00:00,54782.37,55962.01,52232.88,20505.86,514931.14,8130.38,11738.02,11682.7,50081.32,508057.47
26,2026-07-24T00:28:16.519470+00:00,53191.75,55687.66,52306.2,18252.29,515409.2,8142.17,11753.95,11699.2,50132.95,508365.07
27,2026-07-24T00:37:04.906008+00:00,53838.97,57260.97,53986.06,18716.23,512562.97,8400.79,13555.92,12622.37,52818.04,512198.92
28,2026-07-24T00:45:34.195587+00:00,59097.82,58353.04,55042.14,19041.37,520768.5,8573.15,13800.96,12855.29,53650.28,515025.1
29,2026-07-24T00:54:01.579014+00:00,58932.84,57979.58,54703.03,18888.85,532730.03,8514.37,12282.37,12199.66,51930.85,513646.04
30,2026-07-24T01:02:48.969054+00:00,54029.49,57722.94,54463.83,18808.41,530470.23,8473.88,12224.46,12144.82,51735.36,513275.49
31,2026-07-24T01:12:33.528891+00:00,54124.64,57784.92,54466.41,19198.77,536866.27,8472.66,12253.23,12237.96,51767.2,513042.33
32,2026-07-24T01:22:23.120809+00:00,53714.36,57078.27,53829.66,18894.84,527125.34,8389.74,12070.42,12056.31,51219.09,511221.34
33,2026-07-24T01:32:26.618212+00:00,53868.79,57413.94,54138.29,18985.52,530048.99,8431.51,12141.89,12126.82,51472.56,512144.07
34,2026-07-24T01:42:13.099188+00:00,53876.86,57439.23,54154.78,18734.85,527583.85,8433.35,12146.02,12077.22,51490.55,512411.75
35,2026-07-24T01:53:19.485392+00:00,53883.49,57412.64,54171.11,18735.38,527717.58,8434.73,12149.59,12079.19,51498.28,512292.3
36,2026-07-24T02:03:44.257385+00:00,53836.8,57321.11,54094.83,18706.4,527048.49,8423.89,12133.61,12061.51,51438.0,511856.43
37,2026-07-24T02:13:06.495813+00:00,53489.72,56849.79,53612.73,18541.27,522479.93,8350.32,12025.12,11950.89,51041.76,509911.14
38,2026-07-24T02:21:55.569737+00:00,53857.77,57342.58,54110.32,18713.56,527090.9,8424.62,12134.41,12062.61,51473.47,512493.04
39,2026-07-24T02:30:33.159584+00:00,53662.95,57079.79,53853.5,18619.3,524701.55,8385.22,12076.67,12003.38,51183.4,510444.55
40,2026-07-24T02:39:15.965355+00:00,53468.12,56844.34,53619.12,18555.82,522518.13,8350.45,12023.97,11955.95,50980.7,509340.67
41,2026-07-24T02:48:34.251768+00:00,54326.64,57961.15,54657.38,18929.16,532192.55,8515.39,12257.44,12193.21,51927.77,517331.41
42,2026-07-24T02:57:22.647590+00:00,54276.76,57912.79,54602.83,18919.44,531579.97,8508.18,12245.22,12181.5,51876.45,517251.4
43,2026-07-24T03:06:46.519975+00:00,54534.33,58248.21,54915.23,19022.47,533862.14,8557.82,12315.23,12237.35,52113.61,519741.88
44,2026-07-24T03:16:06.137750+00:00,54666.66,58612.73,55262.51,19133.92,536394.61,8611.8,12393.06,12296.44,52371.88,522149.4
45,2026-07-24T03:24:58.492263+00:00,54718.05,58728.64,55373.91,19168.95,523419.85,8626.38,13852.04,12883.97,52452.41,522901.88
46,2026-07-24T03:33:11.470692+00:00,59628.25,58941.48,55582.99,19239.61,525088.45,8649.41,13890.39,12917.2,52614.83,524365.22
47,2026-07-24T03:41:43.061168+00:00,59563.45,58849.46,55499.89,19197.91,524250.37,8636.82,13873.78,12893.54,52541.6,523578.91
48,2026-07-24T03:50:28.322525+00:00,59458.55,58683.93,55359.39,19134.08,522880.54,8614.38,13846.39,12864.51,52419.08,522428.87
49,2026-07-24T04:00:02.967098+00:00,59596.39,58930.42,55582.96,19226.43,524929.42,8646.67,13887.2,12915.05,52596.32,524054.89
50,2026-07-24T04:09:01.457325+00:00,59690.09,59136.06,55796.57,19315.24,526620.42,8671.49,13919.08,12962.55,52763.39,525820.69
51,2026-07-24T04:18:53.750641+00:00,59807.37,59411.48,56068.86,19402.14,528856.18,8697.82,13961.34,13021.67,52955.44,527138.85
52,2026-07-24T04:27:47.068948+00:00,59536.89,58813.24,55500.31,19185.99,524082.03,8619.07,13826.44,12886.86,52519.61,523372.25
53,2026-07-24T04:36:33.334359+00:00,59632.51,59026.77,55705.9,25595.14,714410.52,8641.73,13849.14,14250.47,54212.37,525178.4
54,2026-07-24T04:45:29.820098+00:00,59542.14,59938.56,55694.33,25582.44,714307.77,8637.73,13846.74,14245.12,54199.52,525019.42
55,2026-07-24T04:54:20.188838+00:00,59765.01,60376.33,56041.74,25695.98,717879.2,8669.27,13934.29,14341.83,54477.32,527520.29
56,2026-07-24T05:03:03.955653+00:00,59610.03,60075.59,55800.15,19274.57,526760.65,8641.48,13902.72,12965.61,52780.33,525933.29
57,2026-07-24T05:11:35.475621+00:00,59724.81,59214.78,55851.85,19301.99,527323.19,8650.35,13915.75,12983.1,52836.18,526662.77
58,2026-07-24T05:19:57.567324+00:00,59596.73,58955.54,55653.51,25544.37,713734.41,8620.0,13836.61,14237.4,54187.71,525156.01
59,2026-07-24T05:28:22.873665+00:00,59663.3,60192.22,55877.23,25633.63,716172.09,8658.03,13893.0,14306.1,54386.18,527314.67
60,2026-07-24T05:37:39.121865+00:00,59758.23,60396.09,56028.73,25683.82,717850.38,8687.53,13930.8,14351.57,54513.7,528551.45
61,2026-07-24T05:46:58.021873+00:00,59638.55,60212.82,55872.41,25620.65,716306.71,8660.6,13891.93,14311.27,54400.63,527432.21
62,2026-07-24T05:56:02.778095+00:00,59954.23,60646.18,56285.46,25767.38,538226.85,8724.32,12578.67,13094.64,53151.78,529722.51
63,2026-07-24T06:04:45.223155+00:00,55395.99,59928.87,56478.63,25860.45,539973.91,8756.0,12622.66,13143.26,53344.67,531335.75
64,2026-07-24T06:13:00.445881+00:00,54914.25,59232.48,55848.3,25544.76,534273.28,8653.57,12479.11,12986.97,52729.27,526394.92
65,2026-07-24T06:22:11.257936+00:00,55256.39,59713.39,56295.97,25752.58,538321.95,8723.02,12581.06,13089.73,53142.24,529347.68
66,2026-07-24T06:31:12.640286+00:00,54810.32,59086.98,55722.43,25469.82,533133.23,8634.04,12450.45,12958.07,52588.89,524992.66
