cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-25T13:17:42.538049+00:00,49994.99,54992.0,45508.73,20000.0,570102.26,10535.71,10480.92,10066.17,50000.0,500000.0
2,2026-07-25T13:23:53.180593+00:00,49940.53,54378.08,45614.58,20000.0,593895.33,12759.42,11303.12,10213.03,50000.0,500000.0
3,2026-07-25T13:31:56.516090+00:00,49954.74,47695.99,45802.47,20000.0,601731.86,14369.68,12296.74,10447.06,50000.0,500000.0
4,2026-07-25T13:40:29.208485+00:00,7507.33,51299.22,45763.63,19993.01,555948.06,800.0,5000.0,10521.53,50000.0,500000.0
5,2026-07-25T13:48:42.509099+00:00,7588.25,54467.42,45529.72,20153.17,555948.06,800.0,5000.0,10757.74,50000.0,500000.0
6,2026-07-25T13:56:13.996046+00:00,7583.23,54418.0,45529.72,20125.13,555948.06,800.0,4996.01,10713.72,49966.54,500000.0
7,2026-07-25T14:04:22.306777+00:00,7521.67,39313.11,45529.72,20038.01,555943.93,800.0,4948.69,10601.64,49558.44,500000.0
8,2026-07-25T14:12:24.288970+00:00,7544.66,39355.61,45499.73,20054.12,555929.94,800.0,4961.71,10613.95,49625.71,500000.0
9,2026-07-25T14:20:22.682774+00:00,7495.87,54181.77,45286.1,19985.8,555677.68,800.0,4934.09,10561.28,49509.85,500000.0
10,2026-07-25T14:28:31.428647+00:00,7480.96,54161.22,45213.23,19978.22,555543.56,800.0,4925.66,10554.32,49470.34,500000.0
11,2026-07-25T14:36:35.171997+00:00,7453.21,54082.61,45072.17,19942.17,555276.01,800.0,4909.96,10522.4,49383.9,500000.0
12,2026-07-25T14:45:52.681487+00:00,7336.97,53797.04,54386.27,17740.56,553962.66,800.0,4844.46,10394.08,49106.42,499980.7
13,2026-07-25T14:53:38.476939+00:00,7399.93,44040.26,54719.48,19859.32,554667.08,799.2,4875.81,10465.25,49259.35,500000.0
14,2026-07-25T15:01:56.024453+00:00,7508.98,44343.49,55365.27,20083.94,556037.67,26365.51,15247.7,10599.45,49462.15,500000.0
15,2026-07-25T15:09:19.100483+00:00,48034.06,69382.97,55571.21,20156.34,625691.12,26367.48,14008.49,10634.83,49525.82,499995.17
16,2026-07-25T15:17:46.596418+00:00,38871.79,69185.48,55265.91,20053.7,610344.11,26351.07,13976.16,10568.5,49386.67,499995.17
17,2026-07-25T15:25:51.361745+00:00,31782.34,69214.74,55330.17,20072.38,655137.89,26358.39,13984.72,10574.9,49409.8,499933.49
18,2026-07-25T15:34:07.595609+00:00,31761.69,69098.12,55211.74,20013.11,651506.53,26338.17,13962.61,10545.33,49317.73,499084.47
19,2026-07-25T15:43:24.850238+00:00,31734.26,68991.63,55095.4,19962.41,650983.93,26307.23,13935.44,10519.23,49227.88,499084.47
