cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-26T02:03:25.301835+00:00,49999.9,49969.6,49971.0,19986.0,542073.26,10027.67,10547.87,10010.27,50741.66,500000.0
2,2026-07-26T02:08:11.335563+00:00,50644.32,50890.75,50704.82,20343.42,544802.88,9145.34,6146.98,9371.2,57259.97,499981.33
3,2026-07-26T02:13:05.775628+00:00,38322.26,50944.37,50781.46,19831.92,652831.5,11230.37,13181.58,10495.75,54661.04,464482.47
4,2026-07-26T02:18:45.341328+00:00,46463.79,61269.29,51253.18,20508.2,666171.79,9117.77,7393.7,9705.93,51795.7,450784.4
5,2026-07-26T02:24:25.829223+00:00,39547.77,45985.05,51714.53,20176.36,596253.13,9155.17,7415.45,9745.06,51795.7,455382.7
6,2026-07-26T02:29:59.375343+00:00,39547.77,37124.99,51695.12,20187.91,656452.38,9168.75,7423.35,9758.3,51765.69,389437.54
7,2026-07-26T02:35:45.735046+00:00,38295.25,42150.44,53832.43,20240.06,577022.38,9214.17,7799.75,9842.3,51996.67,455491.41
8,2026-07-26T02:41:15.568543+00:00,39422.26,44561.23,49683.18,20203.31,590691.25,9181.88,5742.16,9629.86,57413.16,454663.36
9,2026-07-26T02:47:20.002137+00:00,39526.75,53742.25,49783.41,17075.04,591674.15,8840.09,5764.34,9667.13,43965.61,425293.37
10,2026-07-26T02:53:23.553071+00:00,39937.98,52419.02,51410.66,19749.58,595841.97,9772.05,7044.44,9804.47,41408.36,421763.6
11,2026-07-26T02:59:36.736469+00:00,39792.53,52266.21,51317.03,16228.77,595478.15,10111.24,7078.88,9864.75,58924.11,382242.68
12,2026-07-26T03:05:21.553543+00:00,39817.03,69902.53,47263.56,20992.24,578001.8,10116.54,7083.45,9777.46,43116.29,406476.0
13,2026-07-26T03:11:23.115729+00:00,38047.32,68778.52,50781.35,20880.25,578534.76,10116.96,7089.17,9797.07,36476.72,405157.84
14,2026-07-26T03:17:28.653917+00:00,38110.32,68807.74,50824.68,20907.51,579147.82,9697.36,6958.98,9813.25,36529.13,405537.51
15,2026-07-26T03:22:57.937310+00:00,37888.13,68688.95,50664.75,20807.11,576991.37,9650.45,6918.65,9756.21,36337.22,422061.66
16,2026-07-26T03:28:41.483228+00:00,37825.11,68652.86,50620.92,20779.6,576335.58,9637.24,6907.59,9740.58,58565.94,388820.22
17,2026-07-26T03:34:46.891070+00:00,38071.95,68831.99,50833.05,20912.77,579492.77,9702.2,6961.09,9816.24,47840.1,309655.62
18,2026-07-26T03:41:33.795413+00:00,38389.57,70210.2,49872.36,21056.33,625152.51,10241.17,7169.84,9897.75,59443.7,322777.95
19,2026-07-26T03:48:34.231805+00:00,38333.95,70153.45,50947.82,21144.6,633042.88,10224.83,7149.53,9884.84,59386.82,300991.93
20,2026-07-26T03:55:50.175469+00:00,38696.2,70400.87,50819.02,22594.82,646297.24,10304.7,7074.4,9977.86,59682.28,303174.99
21,2026-07-26T04:02:56.176558+00:00,38838.57,70492.25,30868.07,19459.28,641201.34,10325.24,7079.01,10013.0,58677.69,302954.49
22,2026-07-26T04:10:27.923666+00:00,38872.57,70514.42,34649.5,20477.34,617905.19,10332.33,7081.49,10021.6,51377.36,319170.07
23,2026-07-26T04:17:24.808819+00:00,38829.45,70484.39,31344.87,27064.53,644251.45,10322.89,7226.41,10007.06,58538.21,318076.45
24,2026-07-26T04:25:04.468281+00:00,39532.95,71381.54,36261.17,24282.79,627458.46,10340.05,7346.78,10187.72,50504.56,299927.77
25,2026-07-26T04:32:07.428429+00:00,39338.82,67806.26,31038.05,23608.04,624941.59,10293.37,7166.16,10137.87,49818.48,298757.89
26,2026-07-26T04:39:30.264577+00:00,39394.07,67844.06,31756.86,22947.24,625660.24,10306.66,7176.19,10152.06,49871.08,298751.15
