cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-26T09:41:55.830436+00:00,49986.0,50000.0,50000.0,19988.8,542098.27,10005.71,10000.0,10138.02,50000.0,499776.0
2,2026-07-26T09:46:49.833114+00:00,49836.36,50000.0,50000.0,19870.2,555780.78,10517.33,9902.04,11764.78,50169.3,297293.19
3,2026-07-26T09:52:20.391725+00:00,48528.68,50000.0,50571.04,19654.24,555052.01,9812.93,9709.42,9656.0,49673.65,495133.63
4,2026-07-26T09:58:03.474439+00:00,48762.49,49433.06,50781.74,7670.55,556357.62,9946.33,9870.27,10101.58,49673.65,395351.23
5,2026-07-26T10:03:59.058052+00:00,50033.06,49914.32,50781.74,7670.55,519756.66,9599.0,9529.57,4125.17,49673.65,396661.63
6,2026-07-26T10:09:24.012539+00:00,48942.17,50000.0,50770.29,7670.55,519716.6,9561.98,9508.33,4104.02,49661.73,396328.31
7,2026-07-26T10:14:28.864776+00:00,48810.13,50131.67,50661.92,7670.55,519148.01,9487.44,9442.9,23286.98,49573.51,434048.85
8,2026-07-26T10:19:59.422496+00:00,51428.04,50185.85,50700.52,25164.61,518876.86,9636.56,9591.3,18961.26,50201.77,431651.35
9,2026-07-26T10:26:14.005505+00:00,48904.68,50152.13,50379.52,10089.82,563609.01,11365.68,9500.06,24891.25,82400.61,489006.42
10,2026-07-26T10:32:39.419522+00:00,52478.3,50204.34,45765.69,7664.42,510487.61,9419.95,9505.33,25592.52,39283.56,488817.8
11,2026-07-26T10:38:28.783459+00:00,46327.26,50146.72,45705.85,7629.38,507900.04,9371.74,9454.15,25482.24,39235.57,481355.18
12,2026-07-26T10:44:11.413423+00:00,45704.55,50146.72,45566.76,27640.4,513841.44,9678.4,9333.36,25200.91,48586.56,483407.84
13,2026-07-26T10:50:57.562683+00:00,47145.37,51995.96,47185.07,27651.33,503946.55,9498.0,9371.2,25287.74,43630.79,484289.55
14,2026-07-26T10:57:33.601675+00:00,48062.81,46160.4,61320.72,27793.98,536611.53,10517.67,9549.83,25721.6,53918.2,492958.24
15,2026-07-26T11:04:04.978715+00:00,48334.48,49789.02,36068.28,27576.04,517163.09,9730.1,9609.29,25867.51,53997.85,496326.5
16,2026-07-26T11:10:30.139291+00:00,48044.26,45570.94,35863.26,27498.02,514146.38,9678.18,9559.21,25742.08,53923.69,494350.59
17,2026-07-26T11:16:53.343640+00:00,47985.52,45014.11,34680.43,27462.75,510717.51,9669.62,9547.71,25712.54,53888.52,493888.19
18,2026-07-26T11:23:22.320164+00:00,47768.79,44812.69,33569.86,27325.14,503057.27,9632.31,9500.7,25586.75,53703.6,491418.98
19,2026-07-26T11:29:36.755088+00:00,47719.06,44387.84,33553.59,27316.24,502552.39,9623.62,9492.71,25568.97,53680.08,491244.75
20,2026-07-26T11:35:15.708039+00:00,47902.79,44356.41,33688.9,27393.4,503699.47,9659.87,9529.84,25674.26,53881.17,493398.84
21,2026-07-26T11:40:57.834598+00:00,47727.79,44227.98,33589.19,27318.32,502379.61,9637.28,9495.8,25593.79,53736.54,491928.19
22,2026-07-26T11:46:14.700727+00:00,47676.22,44234.07,33593.73,27321.88,502441.34,9637.43,9494.84,25589.03,53743.4,491997.92
23,2026-07-26T11:51:57.624888+00:00,47289.46,43995.81,33408.09,27182.86,499989.22,9587.36,9488.61,25434.11,53475.65,489275.33
24,2026-07-26T11:57:04.647492+00:00,47665.67,44302.63,33644.82,27390.74,503108.81,9643.14,9492.14,25612.54,53812.45,492748.02
25,2026-07-26T12:01:46.492238+00:00,47810.38,44406.3,33723.46,27419.6,504128.44,9641.45,9493.32,25675.03,53965.9,493911.91
26,2026-07-26T12:06:49.068142+00:00,47563.84,44323.08,33482.14,27278.61,503778.37,9641.67,9555.74,25493.13,53909.28,490361.56
27,2026-07-26T12:11:55.261113+00:00,47644.38,44300.15,33454.66,27260.27,493487.64,9122.23,8489.31,25477.2,53865.31,489865.32
28,2026-07-26T12:17:09.188606+00:00,45981.06,43540.07,33055.08,26919.01,488245.25,9086.23,8483.37,25163.98,53225.74,485134.84
29,2026-07-26T12:23:01.354378+00:00,45978.67,43616.76,33104.47,26963.33,489021.42,9087.93,8484.25,25195.9,53320.29,485831.53
