cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-26T11:12:18.340323+00:00,50000.0,49982.7,49990.03,19987.2,520000.0,10102.5,10151.89,10018.46,52347.98,499967.5
2,2026-07-26T11:17:46.814743+00:00,50016.26,54792.15,51040.14,19846.04,542403.64,14292.86,14461.48,11494.77,60133.24,484608.62
3,2026-07-26T11:23:58.902229+00:00,50602.95,54675.27,52574.15,19585.63,566430.68,7931.55,7377.76,8862.71,39576.47,460737.57
4,2026-07-26T11:30:45.276724+00:00,49018.99,55527.75,56370.17,20354.23,594175.98,16977.86,17426.52,12567.29,68642.03,499401.99
5,2026-07-26T11:37:51.063552+00:00,51410.14,57821.87,57658.39,20697.44,596044.59,17334.47,17761.95,12643.17,67257.08,502560.67
6,2026-07-26T11:44:10.154266+00:00,51249.34,58369.81,56404.5,20228.53,593183.31,16680.2,16853.71,11534.6,67218.21,452393.23
7,2026-07-26T11:51:03.715294+00:00,50968.12,52700.36,56469.9,20150.62,592432.25,15481.48,16826.23,11484.96,67087.39,501744.54
8,2026-07-26T11:58:17.336715+00:00,51033.45,60211.75,54007.15,20164.27,592574.61,15488.72,16830.78,11498.61,67114.69,481921.68
9,2026-07-26T12:05:56.800656+00:00,50878.97,62459.97,55797.31,20085.1,580100.01,12293.33,13285.0,11469.65,56852.2,476331.4
10,2026-07-26T12:14:15.658085+00:00,49997.63,56184.93,48810.58,18374.19,579990.24,12288.64,13282.05,11460.8,56834.5,471237.72
11,2026-07-26T12:23:00.786420+00:00,49887.83,56092.08,47568.55,17711.66,573849.32,11109.43,11975.84,11443.7,53047.96,470799.31
12,2026-07-26T12:31:57.849536+00:00,49082.11,39158.31,47185.09,17566.66,569166.22,11060.43,11946.91,11363.42,52910.56,472308.51
13,2026-07-26T12:39:41.486371+00:00,49308.31,39349.65,47556.78,17723.44,531496.73,7002.61,7469.99,11410.02,39871.43,486259.91
14,2026-07-26T12:47:32.413354+00:00,47691.75,37209.2,43274.91,15696.0,537008.85,7046.65,7583.18,11516.46,40116.74,490272.8
15,2026-07-26T12:57:44.901656+00:00,47809.65,53821.22,43409.42,15753.03,538620.11,7058.8,7614.42,11550.61,40184.45,490734.77
16,2026-07-26T13:08:07.719355+00:00,47619.08,53543.47,43272.67,15657.63,535822.21,7037.91,7567.09,11487.59,40078.43,489947.04
17,2026-07-26T13:16:55.436288+00:00,47663.53,53580.81,43281.83,15667.12,536462.69,7044.75,7578.36,11502.7,40103.96,490109.21
18,2026-07-26T13:24:18.302185+00:00,47569.1,53441.48,43176.85,15623.11,535170.88,7026.65,7557.78,11473.19,40035.56,489736.73
19,2026-07-26T13:33:18.697745+00:00,47483.03,53322.57,43130.53,15586.89,534028.3,7011.07,7540.08,11447.36,39971.4,489410.46
20,2026-07-26T13:42:15.359221+00:00,47658.43,53551.24,43270.22,15652.8,536324.12,7041.95,7573.81,11498.58,40096.13,490057.4
21,2026-07-26T13:50:06.646274+00:00,47668.53,53524.52,43249.51,15656.09,536456.71,7044.43,7576.12,11502.69,40107.27,490063.04
22,2026-07-26T13:58:55.700779+00:00,47620.03,53443.0,43277.63,15624.77,535835.66,7036.71,7568.92,11489.88,40070.54,489863.4
23,2026-07-26T14:07:28.819880+00:00,47297.8,52987.74,43395.34,15623.77,531779.1,6985.36,7520.46,11404.72,39823.89,488617.29
24,2026-07-26T14:17:22.337032+00:00,47475.16,53251.41,43587.02,15628.07,534038.38,7013.62,7549.67,11451.59,39961.47,485316.26
25,2026-07-26T14:25:26.865646+00:00,47523.2,53344.91,43644.1,15629.23,537679.02,7021.28,7557.55,11464.29,39998.73,489527.08
26,2026-07-26T14:34:02.446317+00:00,47081.32,52995.79,43380.49,15622.75,534254.28,6978.7,7513.38,11392.32,39791.47,488523.07
