cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-28T06:25:42.105737+00:00,49954.99,49957.2,49998.15,19988.8,528065.51,12671.02,10004.22,9994.96,50000.0,499986.0
2,2026-07-28T06:30:18.003574+00:00,49847.72,49843.39,49993.12,19965.12,542426.72,13052.63,9995.34,9980.16,49980.44,449956.4
3,2026-07-28T06:35:25.229537+00:00,49779.65,49781.71,49992.28,19950.02,594534.57,12642.0,9969.5,9971.96,49963.1,299948.0
4,2026-07-28T06:40:13.061806+00:00,49773.41,49734.11,49990.76,19947.8,594360.88,12640.47,9964.68,9971.46,49960.76,455693.28
5,2026-07-28T06:45:30.365261+00:00,49700.99,49692.15,49988.88,19944.53,601358.57,12639.77,9984.83,9970.53,49963.62,456243.84
6,2026-07-28T06:51:06.042867+00:00,49026.87,47851.12,50023.59,19896.38,581375.3,12635.83,9656.52,9882.68,49863.29,450748.46
7,2026-07-28T06:56:30.298217+00:00,49041.59,47294.01,50023.32,19900.98,567813.07,12635.84,9656.72,9858.51,49869.56,414536.33
8,2026-07-28T07:01:44.210160+00:00,49175.28,46961.57,50018.19,19962.76,592019.12,12637.39,9659.2,9849.8,49890.95,446892.2
9,2026-07-28T07:07:47.915223+00:00,49141.11,46918.42,50008.91,19944.7,559502.71,12633.21,9652.08,9847.54,49845.29,446860.03
10,2026-07-28T07:13:31.290916+00:00,49038.78,52433.6,44970.06,19950.52,556410.04,12633.21,8632.29,9854.83,49841.89,398764.76
11,2026-07-28T07:18:40.005647+00:00,46009.77,52388.28,44958.87,19074.93,555323.8,12626.28,8625.78,9841.13,49792.14,203695.04
12,2026-07-28T07:23:37.254830+00:00,45982.85,52355.12,44951.25,19060.34,555220.81,12619.84,8617.92,9837.67,49755.99,203587.63
13,2026-07-28T07:28:58.323838+00:00,46019.09,52394.9,49957.96,19084.06,555349.96,12627.38,8629.48,9841.97,49807.01,443541.43
14,2026-07-28T07:33:59.307127+00:00,46046.64,52435.89,49967.1,19099.0,555451.91,12636.38,8636.4,9846.01,49847.71,443640.13
15,2026-07-28T07:39:30.386746+00:00,46060.68,52443.82,49973.16,19103.82,597595.15,12638.88,8639.79,9847.1,49867.88,443681.84
16,2026-07-28T07:45:21.608798+00:00,45980.82,52302.85,49941.06,19051.06,599440.14,12605.7,8620.27,9832.29,49754.09,443387.81
