cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-30T00:54:36.507449+00:00,49975.08,54969.98,50000.0,22735.02,523790.9,10000.0,10133.67,9994.0,50818.87,499949.99
2,2026-07-30T00:59:58.038523+00:00,49922.39,61110.73,50000.0,15000.0,506867.6,9991.15,7978.2,10255.44,44932.15,459844.26
3,2026-07-30T01:06:20.043231+00:00,44893.22,60234.3,47500.0,25106.02,506867.6,9984.95,7974.0,9978.76,44907.02,449744.45
4,2026-07-30T01:12:48.232523+00:00,49879.84,59535.8,49965.06,23378.37,506829.9,9983.8,7973.35,9953.98,44896.66,499632.79
5,2026-07-30T01:19:55.952267+00:00,49855.03,44911.01,49891.35,14993.57,506775.48,9986.01,7974.65,9942.96,44887.39,499673.79
6,2026-07-30T01:27:29.865689+00:00,48523.58,54861.68,49181.73,14965.36,556111.66,9956.8,9564.58,9882.43,47936.33,470321.89
7,2026-07-30T01:34:23.374702+00:00,48527.97,54887.05,49170.15,14967.96,528204.92,9960.02,7951.45,9884.24,44739.47,463909.16
8,2026-07-30T01:41:19.286287+00:00,48547.41,54905.09,49185.73,14965.83,541540.69,9963.88,7955.32,9888.47,44764.18,464038.49
9,2026-07-30T01:50:23.082919+00:00,48509.64,54876.77,49145.43,14949.64,541173.84,9956.27,7947.32,9879.07,44713.17,463713.1
10,2026-07-30T01:58:33.205382+00:00,48523.27,54893.83,49149.54,14952.07,541276.57,9958.69,7949.9,9881.6,44729.59,463808.18
11,2026-07-30T02:06:48.677195+00:00,48470.23,54825.13,49094.57,14933.91,540846.89,9946.54,7941.47,9871.67,44675.87,463442.46
12,2026-07-30T02:16:19.613654+00:00,48434.01,54771.8,49040.68,14921.22,540517.05,9936.0,7935.12,9863.63,44635.38,463159.67
13,2026-07-30T02:25:53.326224+00:00,49455.74,54793.21,49073.06,14935.65,540981.63,9942.59,7945.45,9876.03,44701.21,463599.28
14,2026-07-30T02:37:16.828883+00:00,49492.73,54819.1,49108.63,14948.86,541386.37,9948.28,7950.48,9885.05,44745.07,463866.14
15,2026-07-30T02:44:50.831804+00:00,49511.81,54839.31,49125.24,14954.47,541574.38,9950.95,7952.11,9889.94,44767.69,464031.32
16,2026-07-30T02:50:30.893368+00:00,49397.5,54729.61,49020.7,14920.15,540204.04,9934.76,7933.08,9863.56,44645.73,463104.35
17,2026-07-30T02:56:56.438912+00:00,49342.14,54691.39,48955.72,14901.55,539353.28,9927.12,7921.79,9847.68,44573.35,462550.13
18,2026-07-30T03:03:06.493007+00:00,49215.24,54613.47,48799.03,14855.69,537262.21,9909.52,7894.69,9809.25,44399.71,461216.53
19,2026-07-30T03:08:49.441456+00:00,49054.39,54396.39,48670.31,14818.83,535609.7,9882.65,7873.31,9778.93,44262.66,460154.79
20,2026-07-30T03:15:04.887860+00:00,49153.76,54451.47,48772.44,14846.44,536859.13,9899.18,7889.44,9801.8,44366.01,460955.45
21,2026-07-30T03:21:27.027457+00:00,49277.07,54529.75,48895.07,15882.08,538325.81,9924.07,7909.12,9829.71,44492.15,461928.66
22,2026-07-30T03:28:08.194181+00:00,49328.18,54572.97,48962.07,15900.43,539121.25,9935.67,7919.38,9844.27,44557.95,462440.31
23,2026-07-30T03:34:42.587881+00:00,49436.75,54653.82,49091.02,15935.76,540609.31,9962.01,7938.59,9871.51,44681.03,463411.98
24,2026-07-30T03:41:13.293733+00:00,49329.46,54576.47,48964.88,15898.03,539194.98,9938.95,7920.33,9845.62,44564.04,462470.16
