cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-17T22:08:59.100180,0,0,0,0,0,0,9997.65,0,0,0
2,2026-03-17T22:10:06.049993,0,0,0,0,0,9998.6,0,9998.42,0,500000.0
3,2026-03-17T22:11:02.899332,50000.0,50000.0,50000.0,0,0,0,0,0,0,0
4,2026-03-17T22:12:19.303052,0,0,50000.0,0,499998.38,9995.8,0,0,50000.0,0
5,2026-03-17T22:13:19.822678,0,0,0,0,0,0,0,9996.83,50000.0,0
6,2026-03-17T22:14:33.427123,0,50000.0,50000.0,20000.0,499998.38,9994.4,9995.3,0,0,0
7,2026-03-17T22:15:53.198820,0,0,0,20000.0,0,9994.4,0,9994.4,0,0
8,2026-03-17T22:17:06.165466,50000.0,0,50000.0,0,499998.38,9994.4,0,0,50000.0,0
9,2026-03-17T22:18:22.362584,0,50000.0,0,0,499998.38,0,9994.12,0,50000.0,0
10,2026-03-17T22:19:33.461596,49998.6,50000.0,50000.0,20000.0,499998.38,9994.4,0,9992.82,0,0
