cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-20T00:18:25.158222,0,0,50000.0,0,5000000000.0,9994.97,0,0,0,0
2,2026-03-20T00:19:15.499847,49997.65,0,0,0,0,9993.74,9998.6,0,0,0
3,2026-03-20T00:20:26.916040,0,0,50000.0,0,5000000000.0,9992.51,0,0,0,0
4,2026-03-20T00:21:18.459661,49994.85,0,0,0,0,0,9998.32,10000.0,50000.0,500000.0
5,2026-03-20T00:23:10.221540,49994.85,50000.0,0,0,5000000000.0,0,9995.52,10000.0,50000.0,0
6,2026-03-20T00:24:54.430169,0,0,0,200000.0,5000000000.0,9988.76,9992.44,10000.0,50000.0,500000.0
7,2026-03-20T00:26:41.563274,49994.85,0,50000.0,200000.0,5000000000.0,9988.48,9988.8,9994.4,50000.0,0
8,2026-03-20T00:28:26.680373,0,50000.0,50000.0,200000.0,0,9988.48,0,9991.6,50000.0,500000.0
9,2026-03-20T00:29:53.900121,49994.85,0,50000.0,0,5000000000.0,9988.48,9983.2,9988.8,50000.0,500000.0
10,2026-03-20T00:31:24.843969,49994.85,50000.0,50000.0,200000.0,5000000000.0,9988.48,9980.4,9988.24,50000.0,500000.0
