cycle,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,50080.74,0,50000.0,200000.0,4999991370.74,0,9956.6,9971.44,50000.0,499979.0
2,50078.02,50000.0,50000.0,0,0,0,0,0,0,499976.2
3,50077.74,50000.0,50000.0,0,0,0,9953.8,9968.64,50000.0,499973.4
4,0,50000.0,50000.0,0,0,9988.48,9953.8,9968.64,0,0
5,0,0,50000.0,199995.58,4999991354.18,9988.48,9953.8,9968.64,50000.0,499970.6
6,50077.47,50000.0,50000.0,199992.78,4999991349.96,9988.48,0,9968.64,0,0
7,0,0,0,199989.98,4999991345.64,0,9953.8,9968.64,50000.0,499967.8
8,50099.94,50000.0,50000.0,0,4999991468.47,9988.48,9953.8,9968.64,50000.0,0
9,50099.63,50000.0,50000.0,199987.18,4999991465.3,9988.48,9953.8,9968.64,50000.0,499965.0
10,50444.92,0,50000.0,199984.38,0,0,0,9968.64,50000.0,499962.2
11,51010.09,50000.0,50000.0,199981.58,4999994176.74,9988.48,9953.8,9968.64,0,0
12,51795.14,0,50000.0,199981.58,0,9988.48,9953.8,9968.64,50000.0,499959.4
13,51885.74,50000.0,50000.0,0,0,0,9953.8,9968.64,0,499956.6
14,0,0,50000.0,0,0,9988.48,9953.8,9968.64,50000.0,499953.8
15,0,0,50000.0,199981.58,0,9988.48,9953.8,0,50000.0,499951.0
16,0,0,50000.0,0,0,9988.48,9953.8,9968.64,50000.0,499948.2
17,0,50000.0,50000.0,199981.58,0,9988.48,9953.8,9968.64,50000.0,499945.4
18,0,0,0,0,4999995875.29,9988.48,9953.8,9968.64,0,499942.6
19,0,50000.0,50000.0,199981.58,4999995875.29,9988.48,9953.8,9968.64,0,499939.8
20,0,50000.0,50000.0,199981.58,0,9988.48,9953.8,9968.64,50000.0,499937.0
21,51875.9,0,50000.0,199981.58,4999995858.11,9988.48,9953.8,9968.64,50000.0,499934.2
22,51873.94,50000.0,0,199981.58,4999995854.68,9988.48,9953.8,0,50000.0,499931.4
23,51871.98,50000.0,50000.0,199978.78,4999995851.25,9988.48,9953.8,9968.64,50000.0,499928.6
24,51870.02,50000.0,50000.0,0,4999995847.82,0,0,0,50000.0,499925.8
25,51868.07,50046.6,50000.0,0,4999996065.5,9988.48,9953.8,9968.64,0,499923.0
26,51848.58,51767.43,50000.0,0,4999997297.86,9988.48,9953.8,0,50000.0,499920.2
27,51849.38,51755.07,50000.0,0,0,9988.48,9953.8,9968.64,50000.0,0
28,51847.42,55833.31,50000.0,0,0,0,9953.8,0,50000.0,0
29,51848.46,55833.31,50000.0,199977.38,4999999006.42,9988.48,9953.8,9968.64,50000.0,0
30,51838.55,55801.82,50000.0,199975.98,4999998973.85,9988.48,0,0,50000.0,0
31,51836.57,55801.82,50000.0,0,4999998969.28,0,9953.8,9968.64,50000.0,499917.4
32,0,0,50000.0,199975.98,0,9988.48,9953.8,9968.64,50000.0,499914.6
33,51834.65,55770.48,0,0,0,9988.48,9953.8,0,50000.0,499911.8
34,0,0,0,199975.98,0,9988.48,9953.8,9968.64,50000.0,499909.0
35,51832.68,55767.35,50000.0,199974.58,0,9988.48,9953.8,0,50000.0,499906.2
36,0,55736.16,50000.0,0,0,0,9953.8,0,50000.0,499903.4
37,51830.7,55733.05,50000.0,0,0,0,9953.8,9968.64,50000.0,499900.6
38,51828.74,0,50000.0,0,0,9988.48,9953.8,0,50000.0,499897.8
39,0,55702.02,0,199973.18,0,0,9953.8,9968.64,50000.0,0
40,0,55671.12,50000.0,199973.18,0,9988.48,9953.8,0,50000.0,499895.0
41,51826.77,55668.04,50000.0,0,0,0,9953.8,9968.64,50000.0,499892.2
42,0,55652.66,50000.0,0,4999998901.51,0,9953.8,9968.64,0,499889.4
43,0,55652.66,50000.0,0,4999998901.51,9988.48,9953.8,9968.64,50000.0,499886.6
44,51831.71,0,50000.0,199973.18,4999999014.65,0,0,9968.64,50000.0,499883.8
45,51923.01,0,50000.0,199971.78,4999999175.53,0,0,9968.64,50000.0,499881.0
46,51922.94,0,50000.0,199971.78,4999999174.32,9988.48,0,0,50000.0,499878.2
47,0,0,50000.0,199971.78,4999999174.32,9988.48,9953.8,9968.64,50000.0,499875.4
48,52016.44,55652.66,50000.0,0,0,9988.48,9953.8,0,50000.0,499872.6
49,52016.37,0,50000.0,199971.78,0,9988.48,9953.8,9968.64,50000.0,0
50,52014.3,0,50000.0,199971.78,4999999331.66,9988.48,0,9968.64,50000.0,499869.8
