cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-17T00:01:16.382167,0,0,0,0,0,0,0,0,0,0
2,2026-03-17T00:01:24.456515,0,0,0,0,0,0,0,0,0,0
3,2026-03-17T00:01:32.712642,0,0,0,0,0,0,0,0,0,0
4,2026-03-17T00:01:42.422469,0,0,0,0,0,0,0,0,0,0
5,2026-03-17T00:01:50.643726,0,0,0,0,0,0,0,0,0,0
6,2026-03-17T00:02:00.831670,0,0,0,0,0,0,0,0,0,0
7,2026-03-17T00:02:08.757578,0,0,0,0,0,0,0,0,0,0
8,2026-03-17T00:02:16.707384,0,0,0,0,0,0,0,0,0,0
9,2026-03-17T00:02:24.895754,0,0,0,0,0,0,0,0,0,0
10,2026-03-17T00:02:32.981431,0,0,0,0,0,0,0,0,0,0
