cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-06-03T21:25:44.335164,50000.0,50000,50000.0,200000,500000,10000,10000.0,10000.0,50000,500052.33
2,2026-06-03T21:28:50.371733,50000.0,50000,50000.0,200000,499851.23,9992.98,10000.0,10000.0,50000,500052.33
3,2026-06-03T21:32:34.067030,50000.0,50000,50000.0,200000,501851.9,10103.73,10000.0,10000.0,50000,500052.33
4,2026-06-03T21:36:37.158811,50000.0,50000,50000.0,200000,506033.06,10204.48,10000.0,10000.0,50000,500052.33
5,2026-06-03T21:40:21.981923,50000.0,50000,50000.0,200000,503796.56,10154.8,10000.0,10090.14,50000,503425.28
6,2026-06-03T21:44:38.524579,50000.0,50000,50000.0,200000,507952.91,10223.68,10000.0,10378.55,49980.24,506908.2
7,2026-06-03T21:49:16.431868,50000.0,50000,50000.0,200000,504459.45,10210.69,10000.0,10865.23,49808.69,510501.09
8,2026-06-03T21:53:35.883042,50961.87,50000,61047.47,200000,513849.44,10372.65,10000.0,21804.87,50257.0,642360.13
9,2026-06-03T21:58:34.888070,58992.03,50000,61047.47,200000,510559.42,10335.56,10000.0,21804.87,50162.45,642360.13
10,2026-06-03T22:04:20.492210,55243.41,50000.0,48273.4,200000,507630.13,10282.91,10000.0,16033.37,50389.49,601227.19
