cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-17T00:09:36.736572,10000.0,9999.72,10000.0,9988.96,9971.38,9988.8,9980.4,9991.6,10000.0,10000.0
2,2026-03-17T00:14:02.947090,10000.0,9999.44,10000.0,9988.96,9971.38,9988.8,9980.37,9991.6,10000.0,10000.0
3,2026-03-17T00:18:30.431500,9997.2,9996.64,10000.0,9986.16,9968.58,9988.6,9980.09,9991.32,9998.6,10000.0
4,2026-03-17T00:23:12.924683,9997.2,9992.39,10000.0,9983.36,9965.78,9988.41,9979.84,9990.75,9998.6,10000.0
5,2026-03-17T00:27:56.448682,9994.4,9987.19,10000.0,9983.36,9960.18,9988.41,9979.84,9990.46,9997.19,10000.0
6,2026-03-17T00:32:59.573471,9993.42,9980.54,10000.0,9983.36,9960.18,9988.41,9979.84,9990.46,9992.99,10000.0
7,2026-03-17T00:38:09.807519,9993.42,9977.74,10000.0,9983.36,9960.18,9988.41,9979.84,9990.46,9992.99,10000.0
8,2026-03-17T00:40:42.742181,9992.02,9976.34,10000.0,9983.36,0,0,0,0,0,0
9,2026-03-17T00:40:47.924856,0,0,0,0,0,0,0,0,0,0
10,2026-03-17T00:40:53.132624,0,0,0,0,0,0,0,0,0,0
