cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-17T23:42:19.221309,49998.6,50433.34,50000.0,20354.01,2.4622954811673594e+44,9994.4,9993.42,9992.82,50000.0,500000.0
2,2026-03-17T23:47:02.185615,49998.6,48000.0,50000.0,17991.0,487771.83,9994.4,9992.02,9990.92,50000.0,500000.0
3,2026-03-17T23:51:46.617399,49997.9,47985.0,50000.0,17991.0,487771.83,9994.4,9990.62,9989.56,50000.0,500000.0
4,2026-03-17T23:56:35.841819,49997.9,47970.0,50000.0,17982.0,487771.83,9994.4,9990.62,9989.56,50000.0,500000.0
5,2026-03-18T00:01:21.822727,49997.9,7.78932614493863e+31,50000.0,5.406784198755783e+31,487771.83,9994.4,9990.62,9989.56,50000.0,500000.0
6,2026-03-18T11:47:25.616531,49997.9,47947.5,50000.0,17982.0,487771.83,9994.4,9990.62,9989.56,50000.0,500000.0
7,2026-03-18T11:59:01.680095,49997.2,1.7030618591757493e+43,50000.0,1.182141789720584e+43,7.558238658289708e+43,9994.4,9990.62,9989.56,50000.0,500000.0
8,2026-03-18T12:03:36.983852,49997.2,47938.0,50000.0,17982.0,487771.83,9994.4,9990.62,9989.56,50000.0,500000.0
9,2026-03-18T12:08:38.108451,49997.2,1.7030618591757493e+43,50000.0,1.182141789720584e+43,7.558238658289708e+43,9994.4,9990.62,9989.56,50000.0,500000.0
10,2026-03-18T12:13:23.638564,49997.05,1.7030618591757493e+43,50000.0,1.182141789720584e+43,7.558238658289708e+43,9994.4,9990.62,9989.56,50000.0,500000.0
