cycle,GoldenWhale,CryptoGuru,HappyTrader,DiamondHands,LeverageKing
1,10000.0,10000.0,10000.0,10000.0,10000.0
2,10000.0,10000.0,10000.0,10000.0,10000.0
3,10000.0,10000.0,10000.0,10000.0,10000.0
4,10000.0,10000.0,10000.0,10000.0,10000.0
5,10000.0,10000.0,10000.0,10000.0,10000.0
6,10000.0,10000.0,10000.0,10000.0,10000.0
7,10000.0,10000.0,9998.6,10000.0,10000.0
8,10000.0,10000.0,9997.2,10000.0,10000.0
9,10000.0,10000.0,9997.2,10000.0,10000.0
10,10000.0,10000.0,9997.2,10000.0,10000.0
11,9996.64,9999.44,9997.2,10000.0,10000.0
12,9993.28,9998.880000000001,9997.2,10000.0,10000.0
13,9993.28,9997.480000000001,9997.2,10000.0,10000.0
14,9993.28,9996.920000000002,9997.2,10000.0,10000.0
15,9993.28,9994.960000000001,9997.2,10000.0,10000.0
16,9993.28,9994.960000000001,9997.2,10000.0,10000.0
17,9993.28,9994.960000000001,9997.2,10000.0,10000.0
18,9993.28,9994.960000000001,9997.2,10000.0,10000.0
19,9993.28,9994.960000000001,9997.2,10000.0,10000.0
20,9993.28,9994.960000000001,9997.2,10000.0,10000.0
21,9993.28,9994.960000000001,9997.2,10000.0,10000.0
22,9993.28,9994.960000000001,9997.2,10000.0,10000.0
23,9993.28,9994.960000000001,9997.2,10000.0,10000.0
24,9993.28,9994.960000000001,9997.2,10000.0,10000.0
25,9993.28,9994.960000000001,9997.2,10000.0,10000.0
26,9993.28,9994.960000000001,9997.2,10000.0,10000.0
27,9993.28,9994.960000000001,9997.2,10000.0,10000.0
28,9993.28,9994.960000000001,9997.2,10000.0,10000.0
29,9993.28,9994.960000000001,9997.2,10000.0,10000.0
30,9993.28,9994.960000000001,9997.2,10000.0,10000.0
31,9993.28,9994.960000000001,9997.2,10000.0,10000.0
32,9993.28,9994.960000000001,9997.2,10000.0,10000.0
33,9993.28,9994.960000000001,9997.2,10000.0,10000.0
34,9993.28,9994.960000000001,9997.2,10000.0,10000.0
35,9993.28,9994.960000000001,9997.2,10000.0,10000.0
36,9993.28,9994.960000000001,9997.2,10000.0,10000.0
37,9993.28,9994.960000000001,9997.2,10000.0,10000.0
38,9993.28,9994.960000000001,9997.2,10000.0,10000.0
39,9993.28,9994.960000000001,9997.2,10000.0,10000.0
40,9993.28,9994.960000000001,9997.2,10000.0,10000.0
41,9993.28,9994.960000000001,9997.2,10000.0,10000.0
42,9993.28,9994.960000000001,9997.2,10000.0,10000.0
43,9993.28,9994.960000000001,9997.2,10000.0,10000.0
44,9993.28,9994.960000000001,9997.2,10000.0,10000.0
45,9993.28,9994.960000000001,9997.2,10000.0,10000.0
46,9993.28,9994.960000000001,9997.2,10000.0,10000.0
47,9993.28,9994.960000000001,9997.2,10000.0,10000.0
48,9993.28,9994.960000000001,9997.2,10000.0,10000.0
49,9993.28,9994.960000000001,9997.2,10000.0,10000.0
50,9993.28,9994.960000000001,9997.2,10000.0,10000.0
