cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-06-09T16:17:08.953551,50000.0,49963.35,50000.0,19990.2,500000.0,9997.2,10000.0,9997.2,50000.0,1237402944.86
2,2026-06-09T16:21:58.884675,49995.0,49900.98,50000.0,19959.26,500000.0,9996.36,10000.0,9996.36,49345.05,1237402944.86
3,2026-06-09T16:26:55.251088,50068.46,49294.83,50000.0,19887.53,500000.0,9994.96,10000.0,13996.13,47932.5,1237550006.58
4,2026-06-09T16:32:24.164133,50018.46,3.4038241598037017e+43,50000.0,19887.53,500000.0,9994.96,10000.0,9496.36,47932.5,1237550006.58
5,2026-06-09T16:37:57.484983,42887.37,50180.87,54373.06,19887.53,500000.0,9994.96,10000.0,9496.36,48147.07,1237529559.88
6,2026-06-09T16:43:02.823393,39843.26,68852.34,57298.69,19887.53,500000.0,9994.96,10000.0,9496.36,48219.79,1237344144.3
7,2026-06-09T16:48:17.337504,39804.27,68851.71,57298.69,19887.53,500000.0,9994.4,10000.0,9496.36,48219.79,1237344144.3
8,2026-06-09T16:53:00.632482,39804.27,67440.71,57298.69,19883.62,500000.0,9994.4,10000.0,9496.36,48219.79,1237829446.93
9,2026-06-09T16:57:31.895473,39804.27,67440.71,57298.69,19883.62,500000.0,9994.4,10000.0,9496.36,48219.79,1237829446.93
10,2026-06-09T17:02:13.502078,39804.27,67386.91,57298.69,19883.62,500000.0,9994.4,10000.0,9496.36,48219.79,1237829446.93
11,2026-06-09T17:07:00.239567,39803.29,67386.91,57298.69,19883.62,500000.0,9993.9,9998.6,9495.66,48219.79,1237801836.56
12,2026-06-09T17:11:57.086617,39803.17,50845.62,57298.69,19883.62,500000.0,9993.39,9997.2,9493.0,48219.79,1237800436.56
13,2026-06-09T17:17:24.683081,39803.17,42760.51,57298.69,19883.62,500000.0,9993.39,9997.2,9493.36,48219.79,1237799876.56
14,2026-06-09T17:22:58.539362,40075.7,42720.47,57298.69,19883.62,6.068475279931813e+43,9993.39,9997.2,8993.0,48219.79,1237799316.56
15,2026-06-09T17:28:34.545364,39302.19,42720.47,57298.69,19883.62,4.009747705432634e+42,9993.39,9997.2,8993.0,48219.79,1237799316.56
16,2026-06-09T17:33:45.488946,39302.19,42720.47,57298.69,19883.62,499379.09,9993.39,9997.2,8993.0,48219.79,1237799316.56
17,2026-06-09T17:39:04.279918,39302.19,42720.47,57298.69,19883.62,499379.09,9993.39,9997.2,8993.0,48219.79,1237784474.75
18,2026-06-09T17:44:24.686976,39302.19,42720.47,57298.69,19883.62,499379.09,9993.39,9997.2,8993.0,48219.79,1237784194.75
19,2026-06-09T17:49:46.210175,39302.19,42720.47,57298.69,19883.62,499379.09,9993.39,9997.2,8993.0,48219.79,1237783914.75
20,2026-06-09T17:55:10.889481,39302.19,42720.47,57298.69,19883.62,499379.09,9993.39,9997.2,8993.0,48219.79,1237783914.75
21,2026-06-09T18:00:53.026603,7.110437761794239e+30,42720.47,57298.69,19883.62,6.068475279931813e+43,9993.39,9997.2,1.7023493526214496e+44,48219.79,1237783914.75
22,2026-06-09T18:19:24.093325,39302.19,42720.47,57298.69,19883.62,1.8627733677158367e+43,9993.39,9997.2,8993.0,47717.9,1237783914.75
23,2026-06-09T18:25:28.235001,39302.19,42720.47,57298.69,19883.62,499379.09,9993.39,9997.2,8993.0,47717.9,1237783914.75
24,2026-06-09T18:31:31.410998,39302.19,42720.47,57298.69,19883.62,3.947694536077439e+30,9993.39,9997.2,8993.0,47390.84,1237783724.75
25,2026-06-09T18:37:32.757903,39302.19,42720.47,57298.69,19883.62,3.947694536077439e+30,9993.39,9997.2,8993.0,47900.39,1237783724.75
26,2026-06-09T18:43:25.089109,39294.69,42715.48,57024.38,19883.62,3.947694536077439e+30,9993.39,9997.2,8993.0,48172.33,1237783640.75
27,2026-06-09T18:49:25.387272,39560.36,42673.38,57103.9,19883.62,499379.09,9993.39,9997.2,8986.54,48172.33,1237783640.75
28,2026-06-09T18:55:13.240587,38396.26,43280.56,55442.76,19883.62,499379.09,9993.39,9997.2,8986.54,48380.53,1237783640.75
29,2026-06-09T19:01:26.514545,40215.31,43280.56,55442.06,19883.62,499231.19,9993.39,9997.2,8986.54,48016.69,1237783639.35
30,2026-06-09T19:07:31.275453,40660.1,43344.96,53418.68,19883.62,497759.65,9993.39,9997.2,8986.54,46238.34,1237783639.35
31,2026-06-09T21:59:06.405018,33838.19,31704.88,1023402.96,20204.73,493321.86,9993.39,9997.2,8986.54,20593.84,1237783639.35
32,2026-06-09T22:16:03.288517,0,55060.46,43184.58,16883.62,487511.04,9993.39,9997.2,8986.54,54149.96,1237783639.35
33,2026-06-09T22:22:05.138471,41992.27,61987.66,43446.32,16883.62,487511.04,9993.39,9997.2,8986.54,54133.33,1237783639.35
34,2026-06-09T22:27:53.391948,39284.19,63419.81,37302.32,16883.62,487511.04,9993.39,9997.2,8986.54,59605.6,1237783639.35
35,2026-06-09T22:33:48.449157,40336.71,54925.44,37302.32,16883.62,496122.48,9993.39,9997.2,8986.54,59447.54,1237783639.35
36,2026-06-09T22:39:39.432798,39064.09,45893.53,37302.32,16883.62,464290.91,9993.39,9997.2,8986.54,100888.51,1237783639.35
37,2026-06-09T22:45:50.158421,38822.0,38701.44,38067.25,16882.12,408534.52,9993.39,9997.2,8986.54,100888.51,1237783639.35
38,2026-06-09T22:51:42.652762,38822.0,38693.94,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
39,2026-06-09T22:57:12.230049,38822.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
40,2026-06-09T23:02:56.497717,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
41,2026-06-09T23:08:46.191424,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
42,2026-06-09T23:14:25.092416,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
43,2026-06-09T23:20:32.096619,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
44,2026-06-09T23:26:32.226560,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
45,2026-06-09T23:33:16.683897,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
46,2026-06-10T03:29:44.823377,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
47,2026-06-10T03:37:29.669021,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
48,2026-06-10T03:44:56.128548,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
49,2026-06-10T03:52:43.322020,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
50,2026-06-10T03:59:53.806089,38807.0,38686.44,38052.25,16880.62,408534.52,9993.39,9997.2,8986.54,100888.5,1237783639.34
