cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-07-12T12:27:37.165625,31234.82,27441.77,41460.75,17372.76,295788.22,5343.68,5372.22,5263.83,42838.74,423201.16
2,2026-07-12T12:34:47.825326,31265.19,27448.37,41456.99,17370.96,295770.65,5343.97,5371.66,5263.01,42758.46,423079.19
3,2026-07-12T12:42:47.577147,31227.45,27413.56,41388.71,17335.06,295636.71,5334.57,5368.54,5258.47,42748.38,423067.54
4,2026-07-12T12:50:37.749062,31233.64,27439.07,41440.86,17356.59,295733.35,5329.31,5369.11,5259.3,42688.04,422997.71
5,2026-07-12T12:57:23.924310,31192.89,27389.22,41380.02,17336.83,295644.76,5323.09,5367.97,5257.64,42688.04,423002.1
6,2026-07-12T13:04:00.856249,31187.79,27374.98,41362.64,17336.82,295644.76,5325.86,5368.96,5259.01,42723.24,423049.3
7,2026-07-12T13:10:27.079327,31190.65,27410.58,41410.44,17349.4,295701.14,5330.0,5369.32,5256.5,42748.4,408065.69
8,2026-07-12T13:16:23.221950,31190.65,27403.44,41397.4,17344.01,295676.88,5327.87,5368.74,5254.56,42713.18,408020.78
9,2026-07-12T13:23:24.154639,31190.5,27349.92,41331.78,17316.5,220956.56,5320.74,5366.77,5244.37,42637.69,407926.68
10,2026-07-12T13:29:49.429977,31189.77,27332.05,41310.09,17291.29,220811.25,5308.19,5364.85,5240.2,42602.52,407872.33
11,2026-07-12T13:36:58.328134,31189.28,27307.05,41262.18,17287.66,220795.02,5309.62,5364.33,5238.37,42592.46,407881.97
12,2026-07-12T13:43:40.148252,31189.87,27328.49,41305.8,17305.81,220900.54,5316.05,5366.12,5240.36,42602.52,407901.51
13,2026-07-12T13:51:34.500146,31188.88,27328.52,41305.97,17305.98,220884.39,5314.67,5365.87,5241.57,42612.55,407913.11
14,2026-07-12T13:59:03.599380,31187.3,27317.81,41275.46,17293.32,220819.6,5311.2,5365.1,5239.7,42602.51,407904.56
15,2026-07-12T14:06:57.987023,31185.75,27307.1,41279.8,17271.49,220722.17,5300.62,5360.4,5222.39,42430.56,407694.4
16,2026-07-12T14:15:11.958502,31174.84,27217.71,41171.0,17229.37,220534.82,5281.34,5356.92,5212.27,42394.78,407633.21
17,2026-07-12T14:23:52.459977,31168.75,27164.06,41096.99,17218.2,220486.24,5284.09,5357.48,5216.04,42414.78,407645.54
18,2026-07-12T14:33:12.722851,31170.77,27171.23,41114.4,17225.41,220420.57,5276.45,5354.83,5203.69,42320.11,407533.9
19,2026-07-12T14:43:49.761042,31169.13,27167.66,41136.18,17234.43,220420.57,5291.03,5354.92,5217.79,42447.49,407709.71
20,2026-07-12T14:54:27.114034,31174.85,27217.65,41192.79,17261.48,220420.57,5299.36,5364.75,5222.75,42456.59,407748.94
21,2026-07-12T15:05:22.362267,31180.17,27264.08,41240.7,17277.7,220420.57,5303.52,5369.05,5232.06,42543.09,407743.5
22,2026-07-12T15:38:08.151571,31190.84,27326.01,41303.2,17300.03,220420.57,5316.02,5378.88,5242.0,42579.51,407836.77
23,2026-07-12T15:48:59.981088,31187.12,27326.0,41303.2,17300.02,260643.12,5312.55,5377.65,5240.75,42588.62,407828.55
24,2026-07-12T16:00:27.742681,31188.36,27326.01,41303.2,17300.02,58293.25,5311.16,5378.88,5240.13,42584.06,407855.1
25,2026-07-12T16:10:46.041413,31186.29,27326.01,41303.2,17300.03,58293.27,5323.66,5386.26,5250.07,42656.9,407969.7
26,2026-07-12T16:20:05.979259,31194.56,27326.02,41303.2,17300.04,58293.27,5331.99,5393.64,5251.94,42670.56,408012.63
27,2026-07-12T16:29:06.241868,31192.9,27326.01,41303.2,17300.03,58293.27,5324.35,5385.64,5248.83,42647.8,407978.19
28,2026-07-12T16:37:44.872465,31191.38,27326.01,41303.2,17300.03,58293.27,5324.35,5382.16,5245.31,42626.55,407977.42
29,2026-07-12T16:46:54.598714,31191.38,27325.99,41302.57,17300.03,53286.81,5320.88,5382.16,5245.31,42626.55,407972.81
30,2026-07-12T16:55:57.510161,31191.38,27325.98,41301.7,17300.03,54664.25,5326.44,5489.17,5245.31,42626.55,407952.1
31,2026-07-12T17:04:24.388754,31191.38,27326.0,41301.7,17300.03,46293.27,5327.83,3882.16,5245.31,42626.55,407958.48
32,2026-07-12T17:12:49.342783,31191.38,27325.99,41301.7,17300.03,46293.27,5321.8,3882.16,5245.31,42626.55,407885.9
33,2026-07-12T17:22:30.621494,31191.38,27325.96,41301.7,17300.03,46293.26,5321.8,3882.16,5245.31,42626.55,407740.93
34,2026-07-12T17:37:00.355439,31191.38,27325.94,41301.7,17300.03,46293.25,5321.8,3882.16,5245.31,42618.45,407877.53
