cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-06-19T00:29:47.128602,49991.3,49965.6,50000.0,21609.5,540349.87,9999.29,9998.43,9998.42,50037.28,508082.26
2,2026-06-19T00:37:40.923381,50094.91,52425.76,50000.0,22190.44,550773.37,10306.95,10290.1,10274.58,50966.3,508082.96
3,2026-06-19T00:47:04.371254,50856.76,53014.47,50000.0,23020.91,548099.52,10462.02,10364.69,10371.93,51493.68,548529.85
4,2026-06-19T00:57:18.980214,51292.33,53520.17,50000.0,24242.77,495136.08,10148.1,10363.85,10370.98,51493.68,588955.58
5,2026-06-19T01:07:49.056699,50854.63,53669.72,50000.0,18565.61,498954.03,10147.26,10363.85,10370.98,51493.68,1897259.91
6,2026-06-19T01:18:27.950452,49435.62,28469.72,50085.48,18502.94,515093.98,7951.59,6724.5,6176.25,51549.31,2506699.91
7,2026-06-19T01:28:44.508285,49419.68,25620.52,50109.62,18490.97,525688.03,8263.61,7011.7,8094.77,52721.05,2313742.12
8,2026-06-19T01:37:45.645096,49592.71,38307.75,50226.11,18004.28,495930.42,8672.18,7011.4,9423.41,57564.71,7024317.39
9,2026-06-19T01:48:18.103562,51201.35,52305.33,50771.78,18038.72,487879.5,10559.24,10648.2,10775.67,47427.31,7453091.04
10,2026-06-19T01:58:39.239849,52583.63,43763.88,51725.17,16068.41,491540.56,6068.15,10648.39,9777.66,55844.12,11249287.94
11,2026-06-19T02:18:48.770029,52297.26,43523.05,51686.36,16753.71,488345.05,10335.45,10648.12,10725.41,44917.56,11967758.24
12,2026-06-19T12:18:12.614334,49132.31,52103.88,53140.21,20023.33,490950.62,10467.03,10742.6,10800.21,52708.32,12195726.02
13,2026-06-19T12:27:30.235269,49416.39,54622.05,53483.75,19349.38,504112.45,10734.07,10930.51,10984.84,52413.66,12195676.6
14,2026-06-19T12:37:13.471889,52767.74,54181.55,53353.55,19084.55,511881.42,11387.73,11425.59,11301.41,52989.58,12195676.19
15,2026-06-19T12:45:52.397976,53111.97,53550.02,56316.94,19015.09,467811.72,10298.05,10985.29,11129.73,52788.59,12195676.06
16,2026-06-19T12:55:53.029399,53241.6,53312.99,54381.41,19034.33,500623.24,10250.5,10943.2,11091.8,52613.88,12195675.92
17,2026-06-19T13:06:25.463577,53842.95,53331.85,54690.69,18875.62,501480.42,10435.64,11060.92,11237.01,52374.59,12195675.92
18,2026-06-19T13:15:41.283307,53674.54,53307.01,46348.72,18929.0,472656.36,9845.54,10952.85,11161.73,52432.46,12187593.69
19,2026-06-19T13:25:20.371308,53704.92,53356.51,50389.98,18481.08,490992.2,9972.39,11092.84,11267.21,52489.58,12187593.72
20,2026-06-19T13:35:26.286459,53742.06,53653.47,50520.33,19488.67,490992.2,9972.39,11092.84,11267.21,52676.04,12185714.37
21,2026-06-19T13:45:14.734407,53419.03,52410.2,50266.95,14205.69,503368.0,9999.93,11147.92,11314.63,51854.4,12186003.7
22,2026-06-19T13:54:27.881726,53432.07,52717.81,50432.11,14604.28,508436.53,9408.96,10885.64,11022.73,49420.5,12183518.97
23,2026-06-19T14:03:43.650030,53332.39,49687.34,48161.77,10634.74,500878.01,9542.71,11089.11,11190.62,49923.62,12187584.15
24,2026-06-19T14:12:35.984421,53405.16,49948.96,48183.86,17185.26,502706.41,9487.28,11006.95,11127.99,49923.62,12190236.17
25,2026-06-19T14:21:33.084788,53617.33,49935.93,48062.45,17011.59,502858.37,9490.4,10991.0,11093.45,49948.6,12189302.39
26,2026-06-19T14:31:44.469203,53624.1,49961.7,48133.07,16833.75,503032.04,9492.28,10995.2,11096.97,49971.14,12190101.98
27,2026-06-19T14:42:11.882790,53640.31,50050.33,47964.82,16947.03,508823.35,9708.23,11295.41,11341.56,51066.78,12190282.04
28,2026-06-19T14:51:19.195142,53836.75,50601.3,48035.24,17108.3,511600.96,9806.1,11428.31,11430.11,51183.61,12190296.43
29,2026-06-19T15:01:13.517980,53860.7,50819.58,47996.91,17031.15,510418.17,9760.76,11354.95,11381.47,51059.07,8949354.79
30,2026-06-19T23:25:32.645398,53844.23,50802.9,48012.66,17089.36,506831.03,9636.42,11215.04,11303.09,50804.72,2626202.66
31,2026-06-19T23:35:31.434246,53697.56,50386.2,47996.3,17180.24,514722.77,9629.32,11210.45,11306.63,50949.3,1362047.82
32,2026-06-19T23:46:21.190426,54024.24,50595.61,48241.66,17185.37,517203.94,9696.3,11383.41,11634.22,51277.56,1362047.79
33,2026-06-19T23:55:19.510286,54280.26,50721.83,48396.85,17374.45,505873.4,9527.07,11171.86,11147.54,50751.45,1362023.35
34,2026-06-20T00:04:28.011150,54097.76,50681.34,48368.02,17426.18,514768.32,9554.72,11195.76,11180.47,50762.06,8947642.96
35,2026-06-20T00:14:04.858127,54162.44,50731.78,48396.27,17481.98,515110.86,9732.37,11281.26,11364.12,50971.13,8947581.75
36,2026-06-20T00:23:58.161042,54216.15,50722.7,48397.17,17723.52,513179.21,9738.53,11283.6,11369.06,50942.27,8947416.78
37,2026-06-20T00:33:09.939737,54221.72,50667.91,48340.9,17909.88,510785.01,9716.84,11271.38,11360.24,50891.83,8947347.08
38,2026-06-20T00:43:31.131131,54254.45,50144.26,48322.79,17883.64,511472.55,9694.61,11379.56,11348.02,51002.75,8960047.23
39,2026-06-20T00:52:58.656396,54463.72,50310.42,48655.31,17945.12,503004.94,9472.09,11152.86,11233.47,50905.78,8963592.73
40,2026-06-20T01:03:36.187900,54476.69,50187.65,48535.04,17835.56,517706.01,9450.73,11138.41,11227.2,50800.77,8963308.88
41,2026-06-20T01:12:27.839737,54386.34,50799.07,48573.07,17777.5,526779.02,10122.45,11744.29,11651.18,51791.59,8966730.63
42,2026-06-20T01:21:21.035173,54922.7,52853.23,48667.24,17764.98,495099.14,9728.46,11750.38,11645.46,51792.48,8973517.86
43,2026-06-20T01:30:32.901287,54917.26,52837.92,48014.79,18397.28,503222.91,9749.73,11763.78,11661.65,51821.6,8974098.63
44,2026-06-20T01:40:22.808492,54919.46,53137.39,48017.88,18909.7,508481.08,10193.6,11690.72,12143.67,52239.68,7524682.46
45,2026-06-20T01:49:24.676183,55164.27,53369.84,47992.25,17481.65,480885.89,9027.27,11379.14,12147.13,52238.1,7524290.66
46,2026-06-20T01:57:57.402393,55151.88,53364.85,47986.89,17989.06,506103.76,9053.06,11390.0,12279.14,52281.13,8981841.98
