cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
1,2026-03-20T00:05:45.352450,0,0,0,0,0,0,0,0,0,0
2,2026-03-20T00:05:55.727075,0,0,0,0,0,0,0,0,0,0
3,2026-03-20T00:06:05.993027,0,0,0,0,0,0,0,0,0,0
4,2026-03-20T00:06:16.256405,0,0,0,0,0,0,0,0,0,0
5,2026-03-20T00:06:26.479502,0,0,0,0,0,0,0,0,0,0
6,2026-03-20T00:06:36.671441,0,0,0,0,0,0,0,0,0,0
7,2026-03-20T00:06:46.906003,0,0,0,0,0,0,0,0,0,0
8,2026-03-20T00:06:57.194783,0,0,0,0,0,0,0,0,0,0
9,2026-03-20T00:07:07.471025,0,0,0,0,0,0,0,0,0,0
10,2026-03-20T00:07:17.725047,0,0,0,0,0,0,0,0,0,0
11,2026-03-20T00:07:27.960904,0,0,0,0,0,0,0,0,0,0
12,2026-03-20T00:07:38.269831,0,0,0,0,0,0,0,0,0,0
13,2026-03-20T00:07:48.521451,0,0,0,0,0,0,0,0,0,0
14,2026-03-20T00:07:59.034831,0,0,0,0,0,0,0,0,0,0
15,2026-03-20T00:08:09.292987,0,0,0,0,0,0,0,0,0,0
16,2026-03-20T00:08:19.516869,0,0,0,0,0,0,0,0,0,0
17,2026-03-20T00:08:29.863812,0,0,0,0,0,0,0,0,0,0
18,2026-03-20T00:08:40.058068,0,0,0,0,0,0,0,0,0,0
19,2026-03-20T00:08:50.384731,0,0,0,0,0,0,0,0,0,0
20,2026-03-20T00:09:00.591034,0,0,0,0,0,0,0,0,0,0
21,2026-03-20T00:09:10.860752,0,0,0,0,0,0,0,0,0,0
22,2026-03-20T00:09:21.131148,0,0,0,0,0,0,0,0,0,0
23,2026-03-20T00:09:31.398439,0,0,0,0,0,0,0,0,0,0
24,2026-03-20T00:09:41.589682,0,0,0,0,0,0,0,0,0,0
25,2026-03-20T00:09:51.787330,0,0,0,0,0,0,0,0,0,0
26,2026-03-20T00:10:01.992199,0,0,0,0,0,0,0,0,0,0
27,2026-03-20T00:10:12.167983,0,0,0,0,0,0,0,0,0,0
28,2026-03-20T00:10:22.367203,0,0,0,0,0,0,0,0,0,0
29,2026-03-20T00:10:32.573943,0,0,0,0,0,0,0,0,0,0
30,2026-03-20T00:10:42.953291,0,0,0,0,0,0,0,0,0,0
31,2026-03-20T00:10:53.210491,0,0,0,0,0,0,0,0,0,0
32,2026-03-20T00:11:03.440849,0,0,0,0,0,0,0,0,0,0
